sale_date,product,category,color,brand,country,quantity,payment_type
2026-05-19,monk straps,Formal,Red,Nike,Uganda,7,Bank Transfer
2026-06-26,loafers,Formal,Black,nike,Uganda,1,Card
2026-05-30,Derby,FORMAL,Green,clarks,Nigeria,7,Bank Transfer
2026-07-11,boots,UTILITY,Black,nike,Canada,6,Bank Transfer
2026-04-18,BOOTS,casual,Red,CLARKS,UK,6,Bank Transfer
2026-03-12,Canvas,Utility,Blue,NIKE,Ghana,6,Card
2026-06-18,canvas,Formal,Green,clarks,USA,13,Cash
2026-07-09,monk straps ,Formal,Brown,timberland,USA,12,Cash
2026-01-16,Derby,formal,Green,clarks,Australia,10,Cash
2026-06-09,OXFORD,Formal,Black,clarks,Cyprus,15,Mobile Money
2026-04-20,BOOTS,Formal,Brown,Clarks,India,8,Bank Transfer
2026-03-16,loafers,casual,Green,Clarks,Australia,9,Cash
2026-05-04,BROGUES ,UTILITY,Green,Nike,Germany,14,Bank Transfer
2026-01-09,oxford,formal,Green,timberland,Nigeria,4,Card
2026-06-26,SLIPPERS,FORMAL,Red,ZARA,Uganda,6,Card
2026-07-23,derby,Casual,Green,Zara,Philippines,10,Cash
2026-04-13,boots,OPEN,Red,Steve Madden,Nigeria,7,Bank Transfer
2026-05-20,DERBY,CASUAL,Blue,CLARKS,UK,7,Mobile Money
2026-03-31,Oxford,OPEN,Black,clarks,UK,11,Cash
2026-05-05,boots,UTILITY,Red,NIKE,Zimbabwe,6,Cash
2026-08-07,Monk Straps,Formal,Red,CLARKS,Germany,8,Card
2026-07-14,BROGUES,Casual,Green,Steve Madden,Australia,5,Mobile Money
2026-01-12,OXFORD,formal,Green,STEVE MADDEN,Zimbabwe,15,Card
2026-01-28,Canvas,FORMAL,Green,steve madden,Cyprus,1,Card
2026-01-13,Boots,CASUAL,Blue,Clarks,Ghana,12,Cash
2026-03-13,loafers,UTILITY,Green,Steve Madden,India,9,Mobile Money
2026-07-11,oxford,Formal,Green,clarks,Ghana,5,Mobile Money
2026-03-10,loafers,CASUAL,Green,Clarks,Zimbabwe,8,Bank Transfer
2026-04-30,OXFORD,formal,Red,zara,Nigeria,2,Bank Transfer
2026-02-15,MONK STRAPS,Formal,Blue,ZARA,Albania,7,Cash
2026-07-16,brogues,formal,Red,STEVE MADDEN,Germany,12,Mobile Money
2026-06-12,Canvas ,formal,Blue,CLARKS,Zimbabwe,15,Card
2026-08-02,boots,FORMAL,Red,Zara,Uganda,7,Mobile Money
2026-03-30,BROGUES,formal,Black,nike,Cyprus,10,Bank Transfer
2026-04-20,monk straps,Open,Green,nike,Philippines,7,Bank Transfer
2026-07-25,boots,formal,Red,timberland,Canada,5,Card
2026-06-03,Boots,FORMAL,Red,Clarks,India,11,Bank Transfer
2026-07-23,slippers,CASUAL,Red,zara,Zimbabwe,10,Bank Transfer
2026-07-25,loafers,Open,Green,CLARKS,USA,10,Mobile Money
2026-06-03,OXFORD,Formal,Red,STEVE MADDEN,Germany,13,Bank Transfer
2026-03-09,brogues,formal,Blue,clarks,USA,7,Cash
2026-02-19,Boots,open,Green,Nike,Nigeria,14,Cash
2026-07-17,OXFORD,OPEN,Green,CLARKS,Ghana,13,Mobile Money
2026-04-15,Loafers,Open,Red,Nike,Philippines,3,Card
2026-04-19,Boots,formal,Green,steve madden,UK,1,Bank Transfer
2026-05-23,BROGUES,Formal,Red,CLARKS,Germany,9,Mobile Money
2026-08-03,Boots,FORMAL,Green,zara,Albania,5,Mobile Money
2026-03-05,OXFORD,CASUAL,Black,NIKE,USA,11,Mobile Money
2026-03-29,LOAFERS,formal,Black,zara,USA,6,Card
2026-06-27,BOOTS,UTILITY,Blue,zara,Kenya,1,Mobile Money
2026-08-06,Canvas ,Casual,Red,clarks,Albania,4,Bank Transfer
2026-01-29,oxford,UTILITY,Black,clarks,India,5,Cash
2026-03-05,monk straps,Formal,Black,zara,Uganda,4,Card
2026-02-16,brogues,formal,Black,Zara,Nigeria,1,Mobile Money
2026-03-28,Canvas,formal,Red,nike,Zimbabwe,4,Bank Transfer
2026-04-02,Monk Straps,CASUAL,Black,CLARKS,Canada,5,Card
2026-06-02,CANVAS,OPEN,Black,STEVE MADDEN,Cyprus,2,Cash
2026-01-23,SLIPPERS,formal,Red,NIKE,Nigeria,1,Bank Transfer
2026-07-27,BROGUES,Casual,Green,Nike,Uganda,15,Bank Transfer
2026-06-23,boots,formal,Green,STEVE MADDEN,UK,11,Mobile Money
2026-04-09,Oxford,utility,Red,Clarks,Ghana,10,Card
2026-06-21,canvas,FORMAL,Brown,STEVE MADDEN,Canada,9,Card
2026-02-28,Loafers,formal,Blue,nike,Uganda,1,Bank Transfer
2026-06-24,OXFORD,Formal,Green,ZARA,Cyprus,8,Bank Transfer
2026-03-31,oxford,CASUAL,Green,STEVE MADDEN,Germany,5,Bank Transfer
2026-04-12,derby,Casual,Black,TIMBERLAND,Nigeria,14,Card
2026-05-19,MONK STRAPS,OPEN,Brown,clarks,UK,14,Mobile Money
2026-01-06,BROGUES,FORMAL,Black,clarks,Zimbabwe,8,Mobile Money
2026-06-06,Loafers,FORMAL,Black,CLARKS,Philippines,7,Bank Transfer
2026-06-09,brogues,open,Green,clarks,Philippines,7,Mobile Money
2026-03-04,monk straps,Formal,Green,timberland,Ghana,8,Cash
2026-07-10,derby,Casual,Green,Clarks,UK,9,Mobile Money
2026-03-08,boots,FORMAL,Brown,Zara,UK,5,Card
